rank,n_cases,mean_dice,std_dice,min_dice,max_dice,mean_hd95,std_hd95,n_inf_hd95,mean_precision,mean_recall,mean_f1,mean_n_pred_lesions,mean_n_gt_lesions,mean_n_tp_lesions,elapsed_sec,MORPH_RADIUS,GAUSSIAN_SIGMA,FLAIR_MIN_THRESHOLD,DIFF_PERCENTILE,DIFF_MIN_THRESHOLD,BRAIN_EROSION_RADIUS,MIN_LESION_VOXELS
92,60,0.1446,0.1995,0.0,0.7462,62.4678,15.7297,0,0.0499,0.0187,0.0256,29.55,78.75,1.4,55.46,1,1.0,0.1,97.0,0.7,3,3
93,60,0.1446,0.1995,0.0,0.7462,62.4678,15.7297,0,0.0499,0.0187,0.0256,29.55,78.75,1.4,55.57,1,1.0,0.1,97.0,0.7,3,7
94,60,0.1446,0.1995,0.0,0.7462,62.4678,15.7297,0,0.0499,0.0187,0.0256,29.55,78.75,1.4,55.75,1,1.0,0.3,97.0,0.3,3,3
95,60,0.1446,0.1995,0.0,0.7462,62.4678,15.7297,0,0.0499,0.0187,0.0256,29.55,78.75,1.4,55.69,1,1.0,0.3,97.0,0.3,3,7
96,60,0.1446,0.1995,0.0,0.7462,62.4678,15.7297,0,0.0499,0.0187,0.0256,29.55,78.75,1.4,55.53,1,1.0,0.3,97.0,0.5,3,3
97,60,0.1446,0.1995,0.0,0.7462,62.4678,15.7297,0,0.0499,0.0187,0.0256,29.55,78.75,1.4,55.67,1,1.0,0.3,97.0,0.5,3,7
98,60,0.1446,0.1995,0.0,0.7462,62.4678,15.7297,0,0.0499,0.0187,0.0256,29.55,78.75,1.4,55.58,1,1.0,0.3,97.0,0.7,3,3
99,60,0.1446,0.1995,0.0,0.7462,62.4678,15.7297,0,0.0499,0.0187,0.0256,29.55,78.75,1.4,55.63,1,1.0,0.3,97.0,0.7,3,7
100,60,0.1446,0.1969,0.0,0.743,60.3825,14.9977,0,0.0393,0.0193,0.0245,37.75,78.75,1.4667,63.4,1,1.0,0.5,96.0,0.3,5,3
101,60,0.1446,0.1969,0.0,0.743,60.3825,14.9977,0,0.0393,0.0193,0.0245,37.75,78.75,1.4667,63.47,1,1.0,0.5,96.0,0.3,5,7
102,60,0.1446,0.1969,0.0,0.743,60.3825,14.9977,0,0.0393,0.0193,0.0245,37.75,78.75,1.4667,63.27,1,1.0,0.5,96.0,0.5,5,3
103,60,0.1446,0.1969,0.0,0.743,60.3825,14.9977,0,0.0393,0.0193,0.0245,37.75,78.75,1.4667,63.6,1,1.0,0.5,96.0,0.5,5,7
104,60,0.1446,0.1969,0.0,0.743,60.3825,14.9977,0,0.0393,0.0193,0.0245,37.75,78.75,1.4667,62.83,1,1.0,0.5,96.0,0.7,5,3
105,60,0.1446,0.1969,0.0,0.743,60.3825,14.9977,0,0.0393,0.0193,0.0245,37.75,78.75,1.4667,62.98,1,1.0,0.5,96.0,0.7,5,7
106,60,0.1445,0.2004,0.0,0.7451,62.8683,16.0165,0,0.0527,0.0185,0.0257,27.85,78.75,1.3833,56.76,1,1.0,0.1,97.0,0.3,5,3
107,60,0.1445,0.2004,0.0,0.7451,62.8683,16.0165,0,0.0527,0.0185,0.0257,27.85,78.75,1.3833,56.58,1,1.0,0.1,97.0,0.3,5,7
108,60,0.1445,0.2004,0.0,0.7451,62.8683,16.0165,0,0.0527,0.0185,0.0257,27.85,78.75,1.3833,56.58,1,1.0,0.1,97.0,0.5,5,3
109,60,0.1445,0.2004,0.0,0.7451,62.8683,16.0165,0,0.0527,0.0185,0.0257,27.85,78.75,1.3833,56.62,1,1.0,0.1,97.0,0.5,5,7
110,60,0.1445,0.2004,0.0,0.7451,62.8683,16.0165,0,0.0527,0.0185,0.0257,27.85,78.75,1.3833,56.73,1,1.0,0.1,97.0,0.7,5,3
111,60,0.1445,0.2004,0.0,0.7451,62.8683,16.0165,0,0.0527,0.0185,0.0257,27.85,78.75,1.3833,56.77,1,1.0,0.1,97.0,0.7,5,7
112,60,0.1445,0.2004,0.0,0.7451,62.8683,16.0165,0,0.0527,0.0185,0.0257,27.85,78.75,1.3833,56.5,1,1.0,0.3,97.0,0.3,5,3
113,60,0.1445,0.2004,0.0,0.7451,62.8683,16.0165,0,0.0527,0.0185,0.0257,27.85,78.75,1.3833,56.61,1,1.0,0.3,97.0,0.3,5,7
114,60,0.1445,0.2004,0.0,0.7451,62.8683,16.0165,0,0.0527,0.0185,0.0257,27.85,78.75,1.3833,56.67,1,1.0,0.3,97.0,0.5,5,3
115,60,0.1445,0.2004,0.0,0.7451,62.8683,16.0165,0,0.0527,0.0185,0.0257,27.85,78.75,1.3833,56.58,1,1.0,0.3,97.0,0.5,5,7
116,60,0.1445,0.2004,0.0,0.7451,62.8683,16.0165,0,0.0527,0.0185,0.0257,27.85,78.75,1.3833,56.72,1,1.0,0.3,97.0,0.7,5,3
117,60,0.1445,0.2004,0.0,0.7451,62.8683,16.0165,0,0.0527,0.0185,0.0257,27.85,78.75,1.3833,56.65,1,1.0,0.3,97.0,0.7,5,7
118,60,0.1442,0.1954,0.0,0.7377,60.2015,14.835,0,0.0386,0.0199,0.0249,38.2667,78.75,1.5,62.82,1,1.0,0.5,96.0,0.3,3,15
119,60,0.1442,0.1954,0.0,0.7377,60.2015,14.835,0,0.0386,0.0199,0.0249,38.2667,78.75,1.5,62.83,1,1.0,0.5,96.0,0.5,3,15
120,60,0.1442,0.1954,0.0,0.7377,60.2015,14.835,0,0.0386,0.0199,0.0249,38.2667,78.75,1.5,62.28,1,1.0,0.5,96.0,0.7,3,15
121,60,0.1441,0.1963,0.0,0.743,60.4185,15.0825,0,0.0396,0.0193,0.0246,36.3667,78.75,1.4667,63.32,1,1.0,0.3,96.0,0.3,5,15
122,60,0.1441,0.1963,0.0,0.743,60.4185,15.0825,0,0.0396,0.0193,0.0246,36.3667,78.75,1.4667,63.44,1,1.0,0.3,96.0,0.5,5,15
123,60,0.1441,0.1963,0.0,0.743,60.4185,15.0825,0,0.0396,0.0193,0.0246,36.3667,78.75,1.4667,63.28,1,1.0,0.3,96.0,0.7,5,15
124,60,0.1441,0.1962,0.0,0.743,60.419,15.0825,0,0.0395,0.0193,0.0246,36.4,78.75,1.4667,63.38,1,1.0,0.1,96.0,0.3,5,15
125,60,0.1441,0.1962,0.0,0.743,60.419,15.0825,0,0.0395,0.0193,0.0246,36.4,78.75,1.4667,63.3,1,1.0,0.1,96.0,0.5,5,15
126,60,0.1441,0.1962,0.0,0.743,60.419,15.0825,0,0.0395,0.0193,0.0246,36.4,78.75,1.4667,63.22,1,1.0,0.1,96.0,0.7,5,15
